Database	VM12TRAIN
Words	438718
total     1668518
Phon	Count	P(Phon)   	P(WI|Phon)	P(WF|Phon)	P(WM|Phon)	Mean(Phon)	SD(Phon)	QQ_25(Phon)	QQ_50(Phon)	QQ_75(Phon)	Mean(WI Phon)	SD(WI Phon)	QQ_25(WI Phon)	QQ_50(WI Phon)	QQ_75(WI Phon)	Mean(WF Phon)	SD(WF Phon)	QQ_25(WF Phon)	QQ_50(WF Phon)	QQ_75(WF Phon)	Mean(WM Phon)	SD(WM Phon)	QQ_25(WM Phon)	QQ_50(WM Phon)	QQ_75(WM Phon)	Mean(WS Phon)	SD(WS Phon)	QQ_25(WS Phon)	QQ_50(WS Phon)	QQ_75(WS Phon)
aI	38319	2.296589e-02	1.381821e-01	1.790235e-01	6.813330e-01	1.236042e-01	5.941928e-02	8.000000e-02	1.100000e-01	1.500000e-01	1.118178e-01	4.409219e-02	8.000000e-02	1.100000e-01	1.400000e-01	1.313448e-01	8.648181e-02	7.000000e-02	1.000000e-01	1.700000e-01	1.239379e-01	5.256665e-02	9.000000e-02	1.200000e-01	1.500000e-01	1.342857e-01	8.527724e-02	9.000000e-02	1.100000e-01	1.425000e-01
OY	3569	2.139024e-03	0.000000e+00	3.782572e-02	9.621743e-01	1.309204e-01	4.311739e-02	1.000000e-01	1.300000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.104815e-01	4.985754e-02	8.000000e-02	1.000000e-01	1.300000e-01	1.317239e-01	4.263938e-02	1.000000e-01	1.300000e-01	1.600000e-01	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
aU	15625	9.364598e-03	4.324480e-01	1.565440e-01	3.923200e-01	1.370570e-01	6.766994e-02	9.000000e-02	1.300000e-01	1.700000e-01	1.435223e-01	6.536409e-02	9.000000e-02	1.400000e-01	1.800000e-01	1.387796e-01	8.844460e-02	7.000000e-02	1.100000e-01	1.900000e-01	1.306117e-01	6.019846e-02	9.000000e-02	1.200000e-01	1.600000e-01	1.083219e-01	4.382987e-02	8.000000e-02	1.000000e-01	1.300000e-01
E:	4774	2.861222e-03	3.351487e-03	3.958944e-02	9.537076e-01	1.013783e-01	8.299670e-02	5.000000e-02	8.000000e-02	1.200000e-01	1.253125e-01	5.004893e-02	9.500000e-02	1.150000e-01	1.700000e-01	1.800000e-01	1.261585e-01	5.000000e-02	1.800000e-01	3.000000e-01	9.734900e-02	7.819260e-02	5.000000e-02	8.000000e-02	1.200000e-01	2.953125e-01	1.046816e-01	2.387500e-01	3.050000e-01	3.475000e-01
y:	4002	2.398536e-03	2.421289e-01	3.148426e-02	7.118940e-01	7.224388e-02	4.745273e-02	4.000000e-02	5.750000e-02	8.000000e-02	6.295666e-02	2.914952e-02	4.000000e-02	5.000000e-02	8.000000e-02	1.668254e-01	8.528213e-02	9.000000e-02	1.600000e-01	2.200000e-01	6.826255e-02	3.911997e-02	4.000000e-02	5.000000e-02	8.000000e-02	2.175000e-01	8.781085e-02	1.700000e-01	2.225000e-01	2.700000e-01
2:	2800	1.678136e-03	6.428571e-03	4.857143e-02	9.446429e-01	9.073929e-02	5.503245e-02	5.000000e-02	8.000000e-02	1.100000e-01	8.666667e-02	5.412404e-02	4.000000e-02	7.000000e-02	1.075000e-01	2.188971e-01	8.760748e-02	1.675000e-01	2.200000e-01	2.900000e-01	8.419660e-02	4.366536e-02	5.000000e-02	8.000000e-02	1.100000e-01	4.000000e-02	0.000000e+00	4.000000e-02	4.000000e-02	4.000000e-02
a:	59590	3.571433e-02	4.227219e-02	3.610337e-01	5.891257e-01	1.225539e-01	7.899008e-02	7.000000e-02	1.000000e-01	1.600000e-01	1.148372e-01	7.337567e-02	6.000000e-02	1.000000e-01	1.500000e-01	1.342407e-01	9.791526e-02	6.000000e-02	1.000000e-01	1.800000e-01	1.162089e-01	6.374947e-02	7.000000e-02	1.000000e-01	1.500000e-01	1.020510e-01	1.014679e-01	4.000000e-02	6.000000e-02	1.200000e-01
u:	17369	1.040984e-02	1.865392e-01	1.164143e-01	6.892164e-01	1.019129e-01	5.824852e-02	6.000000e-02	9.000000e-02	1.300000e-01	9.952623e-02	5.893871e-02	4.000000e-02	9.000000e-02	1.400000e-01	9.362512e-02	7.770514e-02	4.000000e-02	6.000000e-02	1.100000e-01	1.023590e-01	5.133748e-02	6.000000e-02	9.000000e-02	1.300000e-01	2.427206e-01	8.901283e-02	1.900000e-01	2.500000e-01	3.100000e-01
o:	16728	1.002566e-02	1.002511e-01	2.191535e-01	6.741990e-01	1.020738e-01	6.293271e-02	6.000000e-02	9.000000e-02	1.300000e-01	9.731664e-02	4.973903e-02	6.000000e-02	9.000000e-02	1.200000e-01	1.237152e-01	8.954135e-02	6.000000e-02	9.500000e-02	1.600000e-01	9.479784e-02	4.959952e-02	5.000000e-02	9.000000e-02	1.200000e-01	2.020561e-01	1.210157e-01	1.250000e-01	1.900000e-01	2.600000e-01
e:	37165	2.227426e-02	4.993946e-02	1.186062e-01	8.188618e-01	9.587354e-02	6.173756e-02	5.000000e-02	8.000000e-02	1.200000e-01	8.653287e-02	4.524128e-02	5.000000e-02	8.000000e-02	1.100000e-01	1.727427e-01	8.991517e-02	1.000000e-01	1.600000e-01	2.300000e-01	8.334637e-02	4.427585e-02	5.000000e-02	7.000000e-02	1.000000e-01	2.235150e-01	9.207393e-02	1.600000e-01	2.200000e-01	2.800000e-01
