% ARFF file for Verbmobil
% Phoneme: N
%
@relation N

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { N,  }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { CARD, VVIZU, VMINF, ga, KON, PIAT, NE, PIS, VV, Georgen, PTKANT, ADV, PAV, KOUS, beziehungsw, Hann, irgen, Erledung, PTKVZ, irgend, VMFIN, NN, Abend"offnung, SPELL, kling, hing, APPR, ART, PDS, ADJA, PWAV, tank, VVINF, gebongt, VVPP, VVFIN, PIDAT, Ausmachungen, Veranschlagung, ADJD, PPOSAT,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
N, g001acn1_000_AAJ.par, Middle_word, APPR, no_pause, none, 0, 13.9, 0.5, 6.2, 7.5, w_final, 0.16
N, g001acn1_004_AAJ.par, Middle_word, VVINF, no_pause, none, 0, 14.1, 1.0, 6.1, 7.8, w_final, 0.08
N, g001acn1_008_AAJ.par, Middle_word, ADV, no_pause, none, 0, 10.6, 0.6, 4.3, 5.4, w_middle, 0.1
N, g001acn1_010_AAJ.par, Middle_word, VVFIN, no_pause, none, 0, 16.9, 0.9, 7.1, 7.6, w_final, 0.09
N, g001acn1_015_AAJ.par, Middle_word, VVINF, no_pause, none, 0, 14.3, 0.4, 6.0, 7.6, w_final, 0.2
N, g001acn1_015_AAJ.par, Middle_word, ADV, no_pause, none, 0, 14.3, 0.9, 6.0, 7.6, w_middle, 0.06
N, g001acn1_015_AAJ.par, Middle_word, VVINF, no_pause, none, 0, 14.3, 1.1, 6.0, 7.6, w_final, 0.09
N, g001acn1_019_AAJ.par, Middle_word, VVINF, no_pause, none, 0, 15.3, 1.1, 6.6, 8.2, w_final, 0.08
N, g001acn1_019_AAJ.par, Middle_word, VVFIN, no_pause, none, 0, 15.3, 0.7, 6.6, 8.2, w_final, 0.11
N, g001acn1_019_AAJ.par, Middle_word, ADV, no_pause, none, 0, 15.3, 1.2, 6.6, 8.2, w_middle, 0.06
N, g001acn1_024_AAJ.par, Start_word, VVFIN, no_pause, none, 0, 14.6, 1.3, 6.8, 8.9, w_final, 0.03
N, g001acn1_029_AAJ.par, Start_word, VVFIN, no_pause, none, 0, 12.5, 1.0, 5.1, 7.4, w_final, 0.04
N, g001acn1_035_AAJ.par, End_word, VVINF, no_pause, none, 0, 18.5, 1.1, 7.3, 9.8, one_s, 0.05
N, g001acn1_042_AAJ.par, Start_word, VVFIN, no_pause, none, 0, 17.9, 0.8, 7.5, 9.3, w_final, 0.03
N, g001acn1_044_AAJ.par, Start_word, VVFIN, no_pause, none, 0, 14.4, 1.0, 5.0, 5.5, one_s, 0.06
