% ARFF file for Verbmobil
% Phoneme: OY
%
@relation OY

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { OY,  }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { NE, CARD, VVPP, ADJA, ORD, NN, ADV, VVINF, ADJD, neu, VVFIN, neun,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
OY, g001acn1_027_AAJ.par, Start_word, CARD, near_pause, p_stress, 0, 14.3, 0.9, 6.4, 7.9, one_s, 0.11
OY, g001acn1_029_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 12.5, 0.8, 5.1, 7.4, one_s, 0.1
OY, g001acn1_071_AAJ.par, End_word, NN, no_pause, s_stress, 0, 15.6, 1.2, 6.7, 8.3, w_initial, 0.1
OY, g001acn2_007_AAK.par, Middle_word, ORD, no_pause, p_stress, 0, 14.0, 1.1, 5.6, 6.8, w_initial, 0.09
OY, g001acn2_026_AAK.par, End_word, CARD, no_pause, p_stress, 0, 14.2, 0.7, 8.9, 11.5, one_s, 0.12
OY, g001acn2_028_AAK.par, Start_word, CARD, near_pause, p_stress, 0, 13.1, 0.8, 5.8, 7.3, one_s, 0.09
OY, g002acn1_044_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 11.6, 0.7, 4.5, 6.8, one_s, 0.11
OY, g002acn1_055_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 13.4, 1.3, 5.9, 7.7, w_initial, 0.1
OY, g002acn2_101_AAK.par, Middle_word, VVFIN, no_pause, p_stress, 0, 11.3, 0.4, 5.5, 6.7, w_initial, 0.13
OY, g003acn1_046_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 13.3, 0.6, 5.0, 6.4, one_s, 0.16
OY, g003acn2_010_AAK.par, End_word, ADJA, no_pause, p_stress, 0, 15.5, 1.2, 7.3, 8.2, w_initial, 0.08
OY, g009acn1_011_ABA.par, Middle_word, CARD, no_pause, p_stress, 0, 11.9, 0.6, 4.8, 6.0, one_s, 0.14
OY, g009acn1_013_ABA.par, End_word, NN, no_pause, s_stress, 0, 14.6, 0.6, 5.8, 6.6, w_final, 0.1
OY, g009acn1_016_ABA.par, Start_word, CARD, near_pause, p_stress, 0, 12.7, 0.6, 5.7, 6.3, one_s, 0.11
OY, g009acn1_020_ABA.par, End_word, CARD, no_pause, p_stress, 0, 13.4, 0.7, 5.1, 6.3, one_s, 0.16
OY, g009acn2_012_ABD.par, Middle_word, NN, no_pause, s_stress, 0, 15.3, 1.0, 6.2, 8.4, w_final, 0.05
OY, g009acn2_014_ABD.par, Middle_word, CARD, no_pause, p_stress, 0, 15.7, 0.6, 6.5, 7.8, one_s, 0.1
OY, g009acn2_047_ABD.par, Start_word, VVFIN, near_pause, p_stress, 0, 15.2, 1.4, 5.9, 7.2, one_s, 0.06
OY, g010acn2_002_ABD.par, Middle_word, VVINF, no_pause, p_stress, 0, 12.8, 0.6, 5.7, 7.5, w_middle, 0.18
OY, g010acn2_016_ABD.par, Middle_word, CARD, no_pause, p_stress, 0, 12.2, 0.7, 5.2, 6.2, one_s, 0.11
OY, g011acn1_000_ABA.par, Middle_word, VVFIN, no_pause, p_stress, 0, 13.4, 0.9, 5.5, 6.8, w_initial, 0.08
OY, g011acn1_007_ABA.par, Start_word, ORD, no_pause, p_stress, 0, 12.7, 0.7, 4.9, 7.9, w_initial, 0.13
OY, g011acn1_013_ABA.par, Middle_word, NN, no_pause, s_stress, 0, 11.2, 0.6, 4.5, 6.1, w_final, 0.12
OY, g011acn1_016_ABA.par, Middle_word, CARD, no_pause, p_stress, 0, 12.7, 0.8, 5.2, 7.2, one_s, 0.11
OY, g011acn1_018_ABA.par, Middle_word, CARD, no_pause, p_stress, 0, 11.9, 0.7, 4.9, 6.9, one_s, 0.09
OY, g011acn2_001_ABD.par, Middle_word, VVFIN, no_pause, p_stress, 0, 12.9, 1.0, 5.5, 6.4, w_initial, 0.06
OY, g011acn2_006_ABD.par, Middle_word, ORD, no_pause, p_stress, 0, 12.1, 0.7, 4.9, 6.9, w_initial, 0.12
OY, g011acn2_017_ABD.par, Middle_word, CARD, no_pause, p_stress, 0, 14.8, 0.9, 6.8, 8.0, one_s, 0.06
OY, g011acn2_023_ABD.par, Middle_word, CARD, no_pause, p_stress, 0, 13.3, 0.5, 5.3, 6.5, one_s, 0.17
OY, g012acn1_001_ABA.par, Middle_word, VVFIN, no_pause, p_stress, 0, 11.0, 0.7, 4.6, 5.9, w_initial, 0.05
OY, g012acn1_015_ABA.par, Middle_word, CARD, no_pause, p_stress, 0, 13.1, 0.8, 5.4, 6.9, w_initial, 0.14
OY, g012acn2_000_ABD.par, Middle_word, VVFIN, no_pause, p_stress, 0, 13.5, 0.6, 5.2, 6.9, w_initial, 0.12
OY, g012acn2_016_ABD.par, Middle_word, CARD, no_pause, p_stress, 0, 16.1, 0.7, 6.2, 9.1, w_initial, 0.09
OY, g014acn1_017_ABE.par, Middle_word, ADJA, no_pause, p_stress, 0, 15.5, 0.9, 6.4, 8.7, w_initial, 0.1
OY, g014acn2_002_ABO.par, Middle_word, ADV, no_pause, p_stress, 0, 11.1, 1.1, 5.0, 6.4, w_initial, 0.1
OY, g015acn2_017_ABO.par, Middle_word, CARD, no_pause, p_stress, 0, 11.7, 0.6, 5.3, 6.8, one_s, 0.13
OY, g016acn1_010_ABE.par, Middle_word, NN, no_pause, s_stress, 0, 9.9, 0.5, 4.1, 4.9, w_final, 0.19
OY, g016acn1_016_ABE.par, End_word, NN, no_pause, s_stress, 0, 15.0, 0.8, 5.2, 7.2, w_final, 0.14
OY, g016acn2_015_ABO.par, Middle_word, NN, no_pause, s_stress, 0, 15.4, 0.7, 5.2, 6.0, w_final, 0.11
OY, g017acn2_014_ACY.par, Middle_word, CARD, no_pause, p_stress, 0, 13.2, 1.0, 5.1, 5.9, w_initial, 0.1
OY, g018acn1_010_ABV.par, Middle_word, VVINF, no_pause, p_stress, 0, 13.2, 1.1, 5.7, 6.7, w_middle, 0.14
OY, g018acn1_010_ABV.par, Middle_word, VVFIN, no_pause, p_stress, 0, 13.2, 0.7, 5.7, 6.7, w_initial, 0.14
OY, g018acn2_025_ACY.par, Middle_word, NE, no_pause, p_stress, 0, 12.7, 0.4, 5.4, 6.0, w_initial, 0.19
OY, g024acn2_015_AES.par, End_word, NN, no_pause, s_stress, 0, 14.4, 0.9, 6.2, 7.5, w_final, 0.07
OY, g024acn2_021_AES.par, Middle_word, CARD, no_pause, p_stress, 0, 13.9, 0.6, 5.6, 6.6, w_initial, 0.14
OY, g024acn2_021_AES.par, Middle_word, ADJD, no_pause, p_stress, 0, 13.9, 0.8, 5.6, 6.6, w_initial, 0.11
