% ARFF file for Verbmobil
% Phoneme: aI
%
@relation aI

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { aI,  }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { kei, ei, VVFIN, Knei, ADJD, einund, einerthalt, APPR, viellei, eiene, rein"ubernachten, NN, PTKVZ, CARD, APPRART, Flugzeig, PPER, rei, PDS, PRF, dreiun, heijeijei, vielleich, KON, zwei, feif, ART, nei, VAFIN, KOUS, ORD, dreiz, ADJA, FW, Maimoch, NE, PIAT, PIS, einf, mei, Frei, bleib, Einzel, ein, dreize, VVPP, Ein, ADV, PWAV, dreiundvi, Weim, Weihn, abstei, VVINF, Zeit, PPOSAT, ITJ, PIDAT, PAV, TRUNC, VVIZU, VAINF, PTKANT,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
aI, g001acn1_000_AAJ.par, Middle_word, ART, no_pause, p_stress, 0, 13.9, 0.9, 6.2, 7.5, w_initial, 0.04
aI, g001acn1_000_AAJ.par, Middle_word, VVFIN, no_pause, p_stress, 0, 13.9, 0.9, 6.2, 7.5, w_middle, 0.14
aI, g001acn1_004_AAJ.par, Middle_word, VVFIN, no_pause, p_stress, 0, 14.1, 1.3, 6.1, 7.8, one_s, 0.06
aI, g001acn1_004_AAJ.par, Middle_word, APPR, no_pause, none, 0, 14.1, 1.3, 6.1, 7.8, one_s, 0.08
aI, g001acn1_004_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 14.1, 0.5, 6.1, 7.8, w_initial, 0.13
aI, g001acn1_004_AAJ.par, Middle_word, ORD, no_pause, p_stress, 0, 14.1, 0.8, 6.1, 7.8, w_initial, 0.14
aI, g001acn1_004_AAJ.par, End_word, NN, no_pause, p_stress, 0, 14.1, 0.6, 6.1, 7.8, one_s, 0.17
aI, g001acn1_008_AAJ.par, Middle_word, ART, no_pause, p_stress, 0, 10.6, 0.3, 4.3, 5.4, one_s, 0.21
aI, g001acn1_008_AAJ.par, Middle_word, NN, no_pause, none, 0, 10.6, 0.4, 4.3, 5.4, w_middle, 0.13
aI, g001acn1_008_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 10.6, 0.6, 4.3, 5.4, w_initial, 0.07
aI, g001acn1_010_AAJ.par, Middle_word, APPR, no_pause, none, 0, 16.9, 0.9, 7.1, 7.6, one_s, 0.08
aI, g001acn1_015_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.3, 0.9, 6.0, 7.6, w_initial, 0.12
aI, g001acn1_015_AAJ.par, End_word, VVFIN, no_pause, p_stress, 0, 14.3, 0.8, 6.0, 7.6, w_initial, 0.12
aI, g001acn1_015_AAJ.par, End_word, VVFIN, no_pause, s_stress, 0, 14.3, 0.8, 6.0, 7.6, w_initial, 0.14
aI, g001acn1_017_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.4, 0.5, 6.4, 6.8, one_s, 0.14
aI, g001acn1_019_AAJ.par, Middle_word, KOUS, no_pause, p_stress, 0, 15.3, 0.3, 6.6, 8.2, one_s, 0.18
aI, g001acn1_022_AAJ.par, Middle_word, NN, no_pause, s_stress, 0, 15.6, 0.6, 6.0, 6.9, w_final, 0.19
aI, g001acn1_024_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 14.6, 1.0, 6.8, 8.9, one_s, 0.1
aI, g001acn1_035_AAJ.par, Middle_word, ADJD, no_pause, p_stress, 0, 18.5, 0.8, 7.3, 9.8, w_middle, 0.09
aI, g001acn1_046_AAJ.par, Start_word, PIAT, near_pause, p_stress, 0, 19.1, 1.0, 6.1, 7.5, one_s, 0.1
