% ARFF file for Verbmobil
% Phoneme: all_vowels
%
@relation all_vowels

% List of attributes:
%
% Duration is expressed in milliseconds
@attribute phoneme { a, a~, e, E, I, i, O, o, U, u, Y, y, 9, 2, @, 6, a:, a~:, e:, E:, i:, o:, u:, y:, 2:, OY, aU, aI }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { ze, PDS, gla, g, gib, t, ADJD, fuen, APPRART, KOKOM, VAFIN, Zu, wa, v, ADV, PRELS, ART, VMFIN, VVIZU, KOUS, APPO, Unterkunfts, PWAT, VAINF, Bla-Damm, m, f, ge, PRF, Marriott-Ho, Flugzeig, VVIMP, TRUNC, Au, ORD, dorten, VVPP, Fro, PTKA, PTKNEG, Ma, de, PTKVZ, VVFIN, VAPP, he, Prinzen, PWAV, Flieg, PIS, Mittw, APPR, CARD, PAV, <aehm>, PIDAT, tschamtatam, Flu, h, no, PTKANT, PPOSAT, VMINF, ueber, <aeh>, PTKZU, PPER, FW, PDAT, ADJA, so, PWS, PIAT, NN, mo, VVINF, Mont, ITJ, Rueckf, Wieder, to, bescha, k, KON, KOUI, Anfa, schlech, SPELL, Rueckscha, NE, al, F, au,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { overlapped, not_overlapped }
@attribute speech_rate_pho numeric
@attribute speech_rate_w numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute duration numeric

@data
%
a, g016acn1_002_ABE.par, Middle_word, NE, no_pause, none, not_overlapped, 10.7, 163.5, 4.2, 5.0, 79.94
a, g016acn1_002_ABE.par, Middle_word, VVINF, no_pause, p_stress, not_overlapped, 10.7, 163.5, 4.2, 5.0, 79.94
a, g016acn1_002_ABE.par, Middle_word, ADJA, no_pause, p_stress, not_overlapped, 10.7, 163.5, 4.2, 5.0, 29.94
a, g016acn1_002_ABE.par, Middle_word, NN, no_pause, none, not_overlapped, 10.7, 163.5, 4.2, 5.0, 69.94
a, g016acn1_006_ABE.par, Middle_word, PDS, no_pause, none, not_overlapped, 13.5, 182.5, 5.1, 5.9, 59.94
a, g016acn1_006_ABE.par, Middle_word, ORD, no_pause, s_stress, not_overlapped, 13.5, 182.5, 5.1, 5.9, 49.94
a, g016acn1_006_ABE.par, End_word, ORD, no_pause, s_stress, not_overlapped, 13.5, 182.5, 5.1, 5.9, 89.94
a, g016acn1_008_ABE.par, Middle_word, ADJA, no_pause, p_stress, not_overlapped, 16.0, 203.1, 6.3, 6.8, 29.94
a, g016acn1_010_ABE.par, Middle_word, NE, no_pause, none, not_overlapped, 9.9, 146.0, 4.0, 4.5, 69.94
a, g016acn1_014_ABE.par, Start_word, ITJ, near_pause, p_stress, not_overlapped, 10.0, 300.2, 5.0, 5.0, 29.94
a, g016acn1_016_ABE.par, Start_word, ITJ, near_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 59.94
a, g016acn1_016_ABE.par, Middle_word, APPRART, no_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 99.94
a, g016acn1_016_ABE.par, Middle_word, NE, no_pause, s_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 69.94
a, g016acn1_016_ABE.par, Middle_word, NE, no_pause, none, not_overlapped, 15.0, 210.3, 5.2, 6.4, 39.94
a, g016acn1_016_ABE.par, Middle_word, PDS, no_pause, none, not_overlapped, 15.0, 210.3, 5.2, 6.4, 49.94
a, g016acn1_016_ABE.par, Middle_word, ADJA, no_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 39.94
a, g016acn1_016_ABE.par, Middle_word, VVFIN, no_pause, none, not_overlapped, 15.0, 210.3, 5.2, 6.4, 39.94
a, g016acn1_016_ABE.par, Middle_word, ADJD, no_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 29.94
a, g016acn1_016_ABE.par, Middle_word, ITJ, no_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 29.94
a, g016acn1_016_ABE.par, Middle_word, KOUS, no_pause, p_stress, not_overlapped, 15.0, 210.3, 5.2, 6.4, 59.94
a, g016acn1_016_ABE.par, Middle_word, PDS, no_pause, none, not_overlapped, 15.0, 210.3, 5.2, 6.4, 49.94
a, g016acn1_018_ABE.par, Middle_word, ART, no_pause, none, not_overlapped, 12.3, 172.4, 4.7, 5.7, 59.94
a, g016acn1_018_ABE.par, End_word, ADV, no_pause, p_stress, not_overlapped, 12.3, 172.4, 4.7, 5.7, 29.94
a, g016acn1_022_ABE.par, Middle_word, VAFIN, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 79.94
a, g016acn1_022_ABE.par, Middle_word, NN, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 69.94
a, g016acn1_022_ABE.par, Middle_word, NN, no_pause, p_stress, not_overlapped, 14.3, 260.7, 5.6, 6.7, 109.94
