% ARFF file for Verbmobil
% 
@relation cart
%
% List of attributes:
% Duration is expressed in miliseconds
%
@attribute phoneme { a, a~, e, E, I, i, O, o, U, u, Y, y, 9, 2, a:, a~:, e:, E:, i:, o:, u:, y:, 2:, OY, aU, aI, @, 6, z, S, Z, C, x, N, Q, b, d, f, g, h, j, k, l, m, n, p, r, s, t,v }
@attribute filename string
@attribute phoneme_type { v, c }
@attribute art_manner { v, p, f, n, l, j, o }
@attribute init_pos_in_syl { y, n }
@attribute syl_part { onset, nucleus, coda, single }
@attribute syl_stress { p_stress, s_stress, none }
@attribute syl_place_in_w { w_initial, w_final, w_middle }
@attribute w_type { content_words, function_words, emph_content, emph_function, emph_cwords, emph_fwords, other }
@attribute syl_count_in_w numeric
@attribute w_pos_in_turn { w_initial, w_middle, w_final, single}
@attribute prev_p_type { v, c, none }
@attribute prev_p_artic { v, p, f, n, l, j, o, none }
@attribute foll_p_type { v, c, none }
@attribute foll_p_artic { v, p, f, n, l, j, o, none }
@attribute foll_p_voiced { v, y, n, none }
@attribute syl_part_foll_p { onset, nucleus, coda, single, none }
@attribute speech_rate numeric
@attribute duration numeric
%
@data
%
j, g376acn2_001_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, none, none, v, v, v, nucleus, 129.94, 129.94
j, g376acn2_003_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, n, v, v, v, nucleus, 59.94, 59.94
j, g376acn2_005_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, n, v, v, v, nucleus, 69.94, 29.94
j, g376acn2_005_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 3, w_final, c, n, v, v, v, nucleus, 88.27, 89.94
j, g376acn2_007_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, o, v, v, v, nucleus, 74.94, 89.94
j, g376acn2_009_AKX_a.par, c, j, n, coda, p_stress, w_initial, function_words, 1, w_middle, v, v, v, v, v, nucleus, 49.94, 59.94
j, g376acn2_009_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 214.94, 199.94
j, g376acn2_009_AKX_a.par, c, j, n, coda, none, w_initial, content_words, 1, w_middle, c, f, v, v, v, coda, 96.6, 29.94
j, g376acn2_013_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 94.94, 29.94
j, g376acn2_017_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 79.94, 89.94
j, g376acn2_018_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 69.94, 89.94
j, g376acn2_018_AKX_a.par, c, j, y, onset, p_stress, w_initial, function_words, 2, w_middle, c, f, v, v, v, nucleus, 63.27, 29.94
j, g376acn2_022_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 144.94, 79.94
j, g376acn2_024_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 144.94, 139.94
j, g378acn2_096_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 79.94, 79.94
j, g378acn2_097_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 74.94, 109.94
j, g378acn2_097_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_final, c, n, v, v, v, nucleus, 104.94, 79.94
j, g378acn2_099_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 34.94, 29.94
j, g378acn2_099_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 69.94, 59.94
j, g378acn2_102_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_final, v, v, v, v, v, nucleus, 104.94, 69.94
j, g378acn2_106_AKX_a.par, c, j, n, onset, p_stress, w_initial, emph_fwords, 1, single, c, p, v, v, v, nucleus, 164.94, 209.94
a:, g376acn2_001_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, c, p, y, onset, 129.94, 129.94
a:, g376acn2_003_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, j, c, o, n, onset, 59.94, 59.94
a:, g376acn2_003_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_final, c, p, c, p, y, onset, 132.44, 229.94
a:, g376acn2_005_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, f, c, o, n, coda, 69.94, 179.94
a:, g376acn2_005_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_middle, c, j, c, p, y, onset, 69.94, 109.94
a:, g376acn2_005_AKX_a.par, v, v, n, nucleus, none, w_final, content_words, 2, w_middle, c, p, c, p, n, coda, 71.6, 109.94
a:, g376acn2_005_AKX_a.par, v, v, n, nucleus, none, w_final, content_words, 2, w_middle, c, p, c, p, n, coda, 78.51, 119.94
a:, g376acn2_005_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, p, c, p, y, onset, 69.94, 69.94
a:, g376acn2_005_AKX_a.par, v, v, y, nucleus, none, w_final, content_words, 3, w_final, v, v, c, o, n, coda, 88.27, 209.94
a:, g376acn2_007_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, c, n, n, onset, 74.94, 59.94
a:, g376acn2_007_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, n, c, l, n, coda, 49.94, 49.94
a:, g376acn2_007_AKX_a.par, v, v, n, nucleus, none, w_final, content_words, 2, w_final, c, l, c, p, n, coda, 62.08, 99.94
a:, g376acn2_009_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, p, c, p, y, onset, 59.94, 59.94
a:, g376acn2_009_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_middle, c, p, c, p, y, onset, 62.44, 109.94
a:, g376acn2_009_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_middle, c, j, none, none, none, none, 214.94, 229.94
a:, g376acn2_013_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, function_words, 1, w_middle, c, n, c, f, n, coda, 39.94, 49.94
a:, g376acn2_013_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_middle, c, f, v, v, v, nucleus, 62.44, 39.94
a:, g376acn2_013_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, j, c, n, n, onset, 94.94, 159.94
a:, g376acn2_013_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_middle, c, f, c, n, n, single, 63.27, 99.94
a:, g376acn2_013_AKX_a.par, v, v, n, nucleus, none, w_final, content_words, 3, w_middle, c, p, c, p, n, coda, 79.94, 139.94
a:, g376acn2_017_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, c, p, n, onset, 79.94, 69.94
a:, g376acn2_018_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_middle, c, j, v, v, v, nucleus, 69.94, 49.94
a:, g376acn2_018_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, p, c, p, n, coda, 73.27, 109.94
a:, g376acn2_018_AKX_a.par, v, v, n, nucleus, none, w_final, content_words, 3, w_middle, c, p, c, p, n, coda, 97.44, 189.94
a:, g376acn2_018_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, p, v, v, v, nucleus, 49.94, 39.94
a:, g376acn2_018_AKX_a.par, v, v, y, nucleus, p_stress, w_initial, function_words, 2, w_middle, v, v, c, n, n, single, 49.94, 59.94
a:, g376acn2_018_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_middle, c, p, c, p, y, onset, 114.94, 229.94
a:, g376acn2_022_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, none, none, none, none, 144.94, 209.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, none, none, none, none, 144.94, 149.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, n, none, none, none, none, 39.94, 49.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, function_words, 1, w_middle, c, n, c, f, n, coda, 39.94, 39.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, function_words, 2, w_middle, c, f, c, n, n, single, 69.94, 119.94
a:, g376acn2_024_AKX_a.par, v, v, n, coda, p_stress, w_initial, content_words, 1, w_middle, c, l, c, n, n, coda, 64.94, 179.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, p, c, f, y, onset, 89.94, 129.94
a:, g376acn2_024_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 2, w_final, c, o, c, p, y, onset, 67.94, 119.94
a:, g378acn2_096_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, o, c, j, n, onset, 49.94, 69.94
a:, g378acn2_096_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_middle, c, j, c, f, y, onset, 79.94, 79.94
a:, g378acn2_097_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, j, v, v, v, nucleus, 74.94, 39.94
a:, g378acn2_097_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_final, c, j, none, none, none, none, 104.94, 129.94
a:, g378acn2_099_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_initial, c, o, none, none, none, none, 214.94, 359.94
a:, g378acn2_099_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_middle, c, j, v, v, v, nucleus, 34.94, 39.94
a:, g378acn2_099_AKX_a.par, v, v, y, nucleus, p_stress, w_initial, content_words, 2, w_middle, c, p, c, p, y, onset, 129.94, 129.94
a:, g378acn2_099_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, content_words, 1, w_middle, c, j, c, f, y, onset, 69.94, 79.94
a:, g378acn2_102_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, w_final, c, j, none, none, none, none, 104.94, 139.94
a:, g378acn2_106_AKX_a.par, v, v, n, nucleus, p_stress, w_initial, emph_fwords, 1, single, c, j, none, none, none, none, 164.94, 119.94
g, g376acn2_001_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, c, o, n, onset, 64.94, 79.94
g, g376acn2_001_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 46.6, 39.94
g, g376acn2_003_AKX_a.par, c, p, y, onset, none, w_final, content_words, 2, w_final, v, v, v, v, v, nucleus, 132.44, 59.94
g, g376acn2_005_AKX_a.par, c, p, y, onset, none, w_middle, content_words, 3, w_middle, c, n, v, v, v, nucleus, 55.49, 39.94
g, g376acn2_005_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 2, w_middle, v, v, v, v, v, nucleus, 67.44, 79.94
g, g376acn2_009_AKX_a.par, c, p, y, onset, none, w_final, content_words, 2, w_middle, v, v, v, v, v, nucleus, 62.44, 49.94
g, g376acn2_013_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 2, w_middle, c, p, v, v, v, nucleus, 52.44, 49.94
g, g376acn2_018_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 2, w_middle, c, p, v, v, v, nucleus, 53.27, 69.94
g, g376acn2_018_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, p, v, v, v, nucleus, 86.6, 99.94
g, g376acn2_018_AKX_a.par, c, p, y, onset, none, w_final, content_words, 2, w_middle, v, v, v, v, v, nucleus, 114.94, 59.94
g, g376acn2_022_AKX_a.par, c, p, y, onset, none, w_final, content_words, 2, w_middle, v, v, c, n, n, onset, 103.94, 69.94
g, g376acn2_022_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 2, w_middle, c, n, v, v, v, nucleus, 63.27, 59.94
g, g376acn2_024_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 2, w_final, c, f, c, o, n, onset, 67.94, 29.94
g, g378acn2_099_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 69.94, 69.94
g, g378acn2_104_AKX_a.par, c, p, y, onset, p_stress, w_initial, content_words, 1, single, v, v, v, v, v, nucleus, 146.6, 99.94
r, g376acn2_001_AKX_a.par, c, o, n, onset, p_stress, w_initial, content_words, 1, w_middle, c, p, v, v, v, nucleus, 64.94, 39.94
r, g376acn2_001_AKX_a.par, c, o, n, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 56.6, 29.94
r, g376acn2_001_AKX_a.par, c, o, y, onset, none, w_final, function_words, 3, w_middle, v, v, c, n, n, onset, 44.94, 29.94
