% ARFF file for Verbmobil
% 
@relation cart
%
% List of attributes:
% Duration is expressed in miliseconds
%
@attribute phoneme { a, a~, e, E, I, i, O, o, U, u, Y, y, 9, 2, a:, a~:, e:, E:, i:, o:, u:, y:, 2:, OY, aU, aI, @, 6, z, S, Z, C, x, N, Q, b, d, f, g, h, j, k, l, m, n, p, r, s, t,v }
@attribute filename string
@attribute phoneme_type { v, c }
@attribute art_manner { v, p, f, n, l, j, o }
@attribute init_pos_in_syl { y, n }
@attribute syl_part { onset, nucleus, coda, single }
@attribute syl_stress { p_stress, s_stress, none }
@attribute syl_place_in_w { w_initial, w_final, w_middle }
@attribute w_type { content_words, function_words, emph_content, emph_function, emph_cwords, emph_fwords, other }
@attribute syl_count_in_w numeric
@attribute w_pos_in_turn { w_initial, w_middle, w_final, single}
@attribute prev_p_type { v, c, none }
@attribute prev_p_artic { v, p, f, n, l, j, o, none }
@attribute foll_p_type { v, c, none }
@attribute foll_p_artic { v, p, f, n, l, j, o, none }
@attribute foll_p_voiced { v, y, n, none }
@attribute syl_part_foll_p { onset, nucleus, coda, single, none }
@attribute speech_rate numeric
@attribute duration numeric
%
@data
%
j, g376acn2_001_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, none, none, v, v, v, nucleus, 129.94, 129.94
j, g376acn2_003_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, n, v, v, v, nucleus, 59.94, 59.94
j, g376acn2_005_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, n, v, v, v, nucleus, 69.94, 29.94
j, g376acn2_005_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 3, w_final, c, n, v, v, v, nucleus, 88.27, 89.94
j, g376acn2_007_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, o, v, v, v, nucleus, 74.94, 89.94
j, g376acn2_009_AKX_a.par, c, j, n, coda, p_stress, w_initial, function_words, 1, w_middle, v, v, v, v, v, nucleus, 49.94, 59.94
j, g376acn2_009_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 214.94, 199.94
j, g376acn2_009_AKX_a.par, c, j, n, coda, none, w_initial, content_words, 1, w_middle, c, f, v, v, v, coda, 96.6, 29.94
j, g376acn2_013_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 94.94, 29.94
j, g376acn2_017_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 79.94, 89.94
j, g376acn2_018_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 69.94, 89.94
j, g376acn2_018_AKX_a.par, c, j, y, onset, p_stress, w_initial, function_words, 2, w_middle, c, f, v, v, v, nucleus, 63.27, 29.94
j, g376acn2_022_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 144.94, 79.94
j, g376acn2_024_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 144.94, 139.94
j, g376acn2_028_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, v, v, v, v, v, nucleus, 179.94, 159.94
j, g376acn2_033_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, c, f, v, v, v, nucleus, 119.94, 119.94
j, g376acn2_035_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, p, v, v, v, nucleus, 162.44, 144.94
j, g376acn2_035_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_final, v, v, v, v, v, nucleus, 109.94, 99.94
j, g376acn2_044_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 39.94, 39.94
j, g376acn2_051_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, l, v, v, v, nucleus, 119.94, 139.94
j, g376acn2_053_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 134.94, 99.94
j, g376acn2_055_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 44.94, 49.94
j, g376acn2_061_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 204.94, 189.94
j, g376acn2_061_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, f, v, v, v, nucleus, 44.94, 49.94
j, g376acn2_061_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 84.94, 29.94
j, g376acn2_061_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 64.94, 69.94
j, g376acn2_066_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 114.94, 169.94
j, g376acn2_066_AKX_a.par, c, j, y, onset, p_stress, w_initial, function_words, 2, w_middle, c, l, v, v, v, nucleus, 57.44, 99.94
j, g376acn2_066_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 54.94, 69.94
j, g376acn2_072_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, p, v, v, v, nucleus, 179.94, 169.94
j, g377acn2_000_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, f, v, v, v, nucleus, 119.94, 59.94
j, g377acn2_000_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 74.94, 109.94
j, g377acn2_000_AKX_a.par, c, j, y, onset, p_stress, w_middle, content_words, 3, w_middle, c, l, v, v, v, nucleus, 61.37, 89.94
j, g377acn2_002_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 2, w_middle, v, v, v, v, v, nucleus, 82.44, 79.94
j, g377acn2_004_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 94.94, 69.94
j, g377acn2_008_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, n, v, v, v, nucleus, 134.94, 29.94
j, g377acn2_008_AKX_a.par, c, j, n, coda, none, w_final, content_words, 3, w_middle, v, v, v, v, v, nucleus, 59.94, 99.94
j, g377acn2_010_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 54.94, 29.94
j, g377acn2_014_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, p, v, v, v, nucleus, 59.94, 59.94
j, g377acn2_014_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 64.94, 89.94
j, g377acn2_014_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, p, v, v, v, nucleus, 89.94, 69.94
j, g377acn2_020_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 74.94, 89.94
j, g377acn2_022_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, c, f, v, v, v, nucleus, 159.94, 49.94
j, g377acn2_024_AKX_a.par, c, j, n, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 99.94, 69.94
j, g377acn2_029_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 109.94, 119.94
j, g377acn2_029_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, n, v, v, v, nucleus, 34.94, 29.94
j, g377acn2_032_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, n, v, v, v, nucleus, 44.94, 29.94
j, g377acn2_038_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, c, l, v, v, v, nucleus, 99.94, 59.94
j, g377acn2_047_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, n, v, v, v, nucleus, 69.94, 59.94
j, g377acn2_047_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 59.94, 29.94
j, g377acn2_050_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 54.94, 29.94
j, g377acn2_053_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 54.94, 39.94
j, g377acn2_053_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, p, v, v, v, nucleus, 69.94, 69.94
j, g377acn2_063_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, l, v, v, v, nucleus, 39.94, 39.94
j, g377acn2_063_AKX_a.par, c, j, n, coda, none, w_middle, emph_cwords, 3, w_middle, v, v, v, v, v, coda, 89.94, 79.94
j, g377acn2_065_AKX_a.par, c, j, n, onset, none, w_final, content_words, 4, w_middle, c, p, v, v, v, nucleus, 89.1, 119.94
j, g377acn2_068_AKX_a.par, c, j, n, coda, none, w_middle, emph_cwords, 3, w_middle, v, v, v, v, v, coda, 91.37, 89.94
j, g377acn2_068_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_final, c, n, v, v, v, nucleus, 89.94, 79.94
j, g377acn2_072_AKX_a.par, c, j, n, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, p, v, v, v, nucleus, 76.6, 89.94
j, g377acn2_076_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, c, n, v, v, v, nucleus, 149.94, 59.94
j, g377acn2_077_AKX_a.par, c, j, n, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 184.94, 199.94
j, g377acn2_079_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 44.94, 39.94
j, g377acn2_079_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 144.94, 109.94
j, g377acn2_079_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 34.94, 29.94
j, g377acn2_081_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, n, v, v, v, nucleus, 34.94, 29.94
j, g377acn2_081_AKX_a.par, c, j, y, onset, p_stress, w_middle, content_words, 3, w_middle, c, l, v, v, v, nucleus, 64.22, 79.94
j, g377acn2_081_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_final, c, f, v, v, v, nucleus, 34.94, 29.94
j, g377acn2_083_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 99.94, 109.94
j, g377acn2_086_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, v, v, v, v, v, nucleus, 49.94, 29.94
j, g377acn2_090_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_final, v, v, v, v, v, nucleus, 84.94, 79.94
j, g378acn2_003_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 144.94, 159.94
j, g378acn2_006_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 159.94, 79.94
j, g378acn2_006_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, f, v, v, v, nucleus, 94.94, 69.94
j, g378acn2_009_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, single, c, n, v, v, v, nucleus, 359.94, 209.94
j, g378acn2_010_AKX_a.par, c, j, n, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 99.94, 129.94
j, g378acn2_012_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, l, v, v, v, nucleus, 114.94, 29.94
j, g378acn2_014_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 2, w_middle, c, n, v, v, v, nucleus, 152.44, 79.94
j, g378acn2_016_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, c, n, v, v, v, nucleus, 269.94, 189.94
j, g378acn2_016_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 89.94, 129.94
j, g378acn2_018_AKX_a.par, c, j, y, onset, p_stress, w_initial, content_words, 1, w_middle, c, f, v, v, v, nucleus, 34.94, 29.94
j, g378acn2_020_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_initial, v, v, v, v, v, nucleus, 224.94, 269.94
j, g378acn2_020_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, v, v, v, v, v, nucleus, 69.94, 89.94
j, g378acn2_020_AKX_a.par, c, j, y, onset, p_stress, w_initial, emph_fwords, 1, w_middle, c, n, v, v, v, nucleus, 409.94, 709.94
