% ARFF file for Verbmobil
% Phoneme: Q
%
@relation glottal_stop

% List of attributes:
%
% Duration is expressed in milliseconds
@attribute phoneme { Q }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { ITJ, APPO, PRF, PPER, KOUI, PIAT, CARD, APPRART, PWAV, PTKA, VAFIN, ORD, Unterkunfts, ART, NN, PIDAT, VVINF, PTKVZ, KON, VMFIN, APPR, PPOSAT, VVFIN, ADV, ADJD, NE, KOUS, SPELL, <aehm>, al, PIS, ADJA, PDS, <aeh>, VVPP,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute speech_rate_w numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute word_position {0, 1}
@attribute duration numeric

@data
%
Q, g016acn1_002_ABE.par, Start_word, PPER, near_pause, p_stress, 0, 10.7, 0.7, 4.4, 5.7, 0, 29.94
Q, g016acn1_002_ABE.par, Middle_word, VVFIN, no_pause, p_stress, 0, 10.7, 0.7, 4.4, 5.7, 0, 49.94
Q, g016acn1_006_ABE.par, Start_word, NN, near_pause, p_stress, 1, 13.5, 1.5, 5.2, 6.7, 0, 49.94
Q, g016acn1_010_ABE.par, Middle_word, PPER, no_pause, p_stress, 0, 9.9, 0.5, 4.1, 4.9, 0, 89.94
Q, g016acn1_018_ABE.par, End_word, ADV, no_pause, p_stress, 0, 12.3, 0.7, 4.9, 6.8, 0, 49.94
Q, g016acn1_020_ABE.par, Start_word, PPER, near_pause, p_stress, 0, 18.1, 2.1, 7.2, 9.5, 0, 29.94
Q, g016acn1_024_ABE.par, Middle_word, PPER, no_pause, p_stress, 0, 12.2, 2.0, 5.1, 6.7, 0, 39.94
Q, g016acn1_024_ABE.par, Middle_word, APPRART, no_pause, p_stress, 0, 12.2, 1.7, 5.1, 6.7, 0, 69.94
Q, g016acn1_024_ABE.par, End_word, NN, no_pause, none, 0, 12.2, 1.2, 5.1, 6.7, 1, 29.94
Q, g016acn1_026_ABE.par, Start_word, ADV, near_pause, p_stress, 0, 13.3, 1.8, 6.1, 7.6, 0, 49.94
Q, g016acn1_026_ABE.par, Middle_word, KON, no_pause, p_stress, 1, 13.3, 0.5, 6.1, 7.6, 0, 49.94
Q, g016acn1_026_ABE.par, Middle_word, PPER, no_pause, p_stress, 0, 13.3, 1.1, 6.1, 7.6, 0, 79.94
Q, g016acn1_031_ABE.par, Start_word, VMFIN, near_pause, none, 1, 15.6, 1.5, 5.7, 8.2, 1, 49.94
Q, g016acn1_033_ABE.par, Start_word, PPER, near_pause, p_stress, 0, 15.6, 2.0, 7.3, 10.4, 0, 29.94
Q, g016acn1_037_ABE.par, Middle_word, KOUI, no_pause, p_stress, 0, 13.0, 1.0, 4.8, 6.5, 0, 69.94
Q, g016acn1_039_ABE.par, Middle_word, APPR, no_pause, p_stress, 0, 12.9, 1.3, 5.7, 6.5, 0, 69.94
Q, g016acn1_039_ABE.par, Middle_word, KON, no_pause, p_stress, 0, 12.9, 0.5, 5.7, 6.5, 0, 49.94
Q, g016acn1_039_ABE.par, Middle_word, PPER, no_pause, p_stress, 0, 12.9, 1.5, 5.7, 6.5, 0, 69.94
Q, g016acn2_003_ABO.par, End_word, NN, no_pause, none, 0, 11.7, 0.4, 4.8, 6.2, 0, 89.94
Q, g016acn2_005_ABO.par, Start_word, ADV, near_pause, p_stress, 0, 10.7, 1.1, 4.6, 6.0, 0, 29.94
Q, g016acn2_013_ABO.par, Start_word, ART, near_pause, p_stress, 1, 11.7, 0.4, 4.8, 6.0, 0, 39.94
Q, g016acn2_015_ABO.par, Start_word, ADV, near_pause, none, 1, 15.4, 1.2, 5.2, 6.0, 0, 29.94
Q, g016acn2_023_ABO.par, Middle_word, VVPP, no_pause, p_stress, 0, 15.7, 1.1, 6.3, 8.3, 0, 59.94
Q, g016acn2_023_ABO.par, End_word, VVINF, no_pause, p_stress, 0, 15.7, 1.4, 6.3, 8.3, 0, 29.94
Q, g016acn2_025_ABO.par, Start_word, NN, near_pause, none, 0, 7.8, 0.8, 3.4, 3.4, 1, 29.94
Q, g016acn2_025_ABO.par, Middle_word, NN, no_pause, none, 0, 7.8, 0.3, 3.4, 3.4, 1, 29.94
Q, g016acn2_028_ABO.par, Start_word, APPR, near_pause, none, 0, 13.1, 0.8, 6.1, 7.2, 0, 29.94
Q, g016acn2_032_ABO.par, Middle_word, NN, no_pause, none, 0, 15.9, 1.2, 6.5, 8.8, 1, 29.94
Q, g016acn2_032_ABO.par, End_word, NN, no_pause, none, 0, 15.9, 1.2, 6.5, 8.8, 1, 29.94
Q, g016acn2_036_ABO.par, End_word, CARD, no_pause, p_stress, 0, 13.0, 0.6, 5.3, 6.9, 0, 59.94
Q, g016acn2_038_ABO.par, Middle_word, <aeh>, no_pause, p_stress, 0, 12.8, 0.9, 5.2, 6.1, 0, 69.94
Q, g218acn1_001_AHP.par, Middle_word, PPER, no_pause, p_stress, 0, 10.2, 1.4, 4.2, 5.1, 0, 59.94
Q, g218acn1_017_AHP.par, Start_word, VAFIN, no_pause, p_stress, 0, 14.6, 1.7, 5.7, 7.6, 0, 39.94
Q, g218acn1_017_AHP.par, Middle_word, APPR, no_pause, p_stress, 0, 14.6, 1.5, 5.7, 7.6, 0, 39.94
Q, g218acn1_017_AHP.par, Middle_word, <aeh>, no_pause, p_stress, 0, 14.6, 2.3, 5.7, 7.6, 0, 59.94
Q, g218acn1_017_AHP.par, Middle_word, <aeh>, no_pause, p_stress, 0, 14.6, 2.0, 5.7, 7.6, 0, 59.94
Q, g218acn1_019_AHP.par, Middle_word, APPRART, no_pause, p_stress, 0, 13.0, 0.7, 5.4, 6.7, 0, 69.94
Q, g218acn1_028_AHP.par, Start_word, VVINF, no_pause, p_stress, 0, 6.2, 0.4, 2.4, 3.1, 0, 59.94
Q, g218acn1_030_AHP.par, Middle_word, ADV, no_pause, none, 0, 12.7, 1.2, 5.0, 7.0, 0, 29.94
Q, g218acn2_000_AHQ.par, Middle_word, VMFIN, no_pause, none, 0, 12.6, 0.9, 5.2, 6.0, 1, 99.94
Q, g218acn2_000_AHQ.par, Middle_word, PPOSAT, no_pause, p_stress, 0, 12.6, 1.1, 5.2, 6.0, 0, 39.94
Q, g218acn2_000_AHQ.par, Middle_word, KON, no_pause, p_stress, 0, 12.6, 1.1, 5.2, 6.0, 0, 49.94
Q, g218acn2_010_AHQ.par, Start_word, ITJ, near_pause, none, 0, 15.3, 0.8, 5.8, 7.0, 0, 39.94
Q, g218acn2_010_AHQ.par, Middle_word, NN, no_pause, p_stress, 0, 15.3, 1.1, 5.8, 7.0, 0, 59.94
Q, g218acn2_010_AHQ.par, Middle_word, PPER, no_pause, p_stress, 0, 15.3, 1.3, 5.8, 7.0, 0, 29.94
Q, g218acn2_010_AHQ.par, Middle_word, NN, no_pause, p_stress, 0, 15.3, 1.0, 5.8, 7.0, 0, 69.94
Q, g218acn2_012_AHQ.par, Middle_word, ITJ, no_pause, none, 0, 17.0, 1.0, 6.8, 8.1, 0, 29.94
Q, g218acn2_015_AHQ.par, Start_word, ADV, near_pause, p_stress, 0, 18.0, 1.7, 8.5, 9.8, 0, 49.94
Q, g218acn2_015_AHQ.par, Middle_word, PPER, no_pause, p_stress, 0, 18.0, 1.2, 8.5, 9.8, 0, 29.94
Q, g218acn2_018_AHQ.par, Middle_word, KON, no_pause, p_stress, 0, 14.5, 0.8, 5.3, 6.8, 0, 59.94
Q, g218acn2_023_AHQ.par, Start_word, ITJ, near_pause, none, 1, 12.8, 1.2, 5.8, 6.7, 0, 39.94
Q, g218acn2_025_AHQ.par, Start_word, ITJ, no_pause, none, 0, 8.7, 1.4, 4.7, 4.7, 0, 39.94
Q, g218acn2_027_AHQ.par, Start_word, ITJ, near_pause, none, 0, 12.8, 0.9, 6.4, 6.4, 0, 29.94
Q, g218acn2_029_AHQ.par, Start_word, ADV, near_pause, p_stress, 0, 15.4, 1.9, 6.5, 8.2, 0, 29.94
Q, g218acn2_029_AHQ.par, Middle_word, PTKA, no_pause, p_stress, 0, 15.4, 2.1, 6.5, 8.2, 0, 29.94
Q, g218acn2_029_AHQ.par, Middle_word, NN, no_pause, p_stress, 0, 15.4, 1.1, 6.5, 8.2, 0, 29.94
Q, g218acn2_029_AHQ.par, Middle_word, <aeh>, no_pause, p_stress, 0, 15.4, 0.6, 6.5, 8.2, 0, 99.94
Q, g218acn2_031_AHQ.par, End_word, ITJ, no_pause, none, 0, 11.0, 1.2, 6.6, 6.6, 0, 29.94
Q, g243acn1_003_AID.par, Start_word, ITJ, near_pause, p_stress, 0, 13.1, 0.9, 6.5, 7.5, 0, 49.94
Q, g243acn1_006_AID.par, Start_word, ADV, near_pause, p_stress, 0, 16.5, 0.8, 6.1, 8.3, 0, 49.94
Q, g243acn1_006_AID.par, Start_word, ORD, no_pause, p_stress, 0, 16.5, 1.1, 6.1, 8.3, 0, 39.94
Q, g243acn1_013_AID.par, Start_word, ITJ, no_pause, none, 0, 13.4, 1.1, 6.7, 7.8, 0, 29.94
Q, g243acn1_015_AID.par, Start_word, ITJ, near_pause, none, 0, 11.2, 1.2, 4.3, 5.6, 0, 29.94
Q, g243acn1_015_AID.par, Middle_word, KON, no_pause, p_stress, 0, 11.2, 1.4, 4.3, 5.6, 0, 69.94
