lang_a
% ARFF file for Verbmobil
% Phoneme: langes_a
%
@relation langes_a

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { a: }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { CARD, NE, uah, Dam, barten, Bahn, TRUNC, A, PIS, PAV, PPER, VAPP, KOUS, ADV, Abend, VVINF, boah, Abend"offnung, Theater-schauen, nachsch, ADJD, ART, ADJA, VVFIN, VMFIN, Ba, KON, Matinin, h, Fra, PWAV, ITJ, PTKVZ, ORD, VVIZU, PTKANT, da, Kam, NN, Tag, VAINF, kam, APPRART, Kabale-un, APPO, SPELL, VAFIN, FW, VVPP, APPR, a, Wa, Veranschlagung, k,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
a:, g001acn1_000_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 13.9, 1.8, 6.2, 7.5, one_s, 0.05
a:, g001acn1_000_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 13.9, 0.9, 6.2, 7.5, one_s, 0.13
a:, g001acn1_000_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 13.9, 1.3, 6.2, 7.5, one_s, 0.06
a:, g001acn1_000_AAJ.par, Middle_word, VVFIN, no_pause, none, 0, 13.9, 0.9, 6.2, 7.5, w_middle, 0.05
a:, g001acn1_000_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 13.9, 0.7, 6.2, 7.5, w_middle, 0.08
a:, g001acn1_004_AAJ.par, Middle_word, PTKANT, no_pause, p_stress, 0, 14.1, 1.8, 6.1, 7.8, one_s, 0.04
a:, g001acn1_004_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.1, 0.9, 6.1, 7.8, one_s, 0.1
a:, g001acn1_004_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.1, 2.0, 6.1, 7.8, one_s, 0.04
a:, g001acn1_004_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.1, 1.1, 6.1, 7.8, one_s, 0.09
a:, g001acn1_004_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 14.1, 0.9, 6.1, 7.8, w_middle, 0.11
a:, g001acn1_008_AAJ.par, Middle_word, KOUS, no_pause, p_stress, 0, 10.6, 0.5, 4.3, 5.4, one_s, 0.18
a:, g001acn1_008_AAJ.par, Middle_word, VAFIN, no_pause, p_stress, 0, 10.6, 0.9, 4.3, 5.4, w_initial, 0.15
a:, g001acn1_008_AAJ.par, Middle_word, NN, no_pause, none, 0, 10.6, 0.8, 4.3, 5.4, w_initial, 0.09
a:, g001acn1_008_AAJ.par, End_word, NN, no_pause, none, 0, 10.6, 0.6, 4.3, 5.4, w_initial, 0.16
a:, g001acn1_010_AAJ.par, Middle_word, NN, no_pause, none, 0, 16.9, 1.2, 7.1, 7.6, w_initial, 0.04
a:, g001acn1_012_AAJ.par, Start_word, ADV, near_pause, p_stress, 0, 11.1, 0.8, 5.6, 5.6, one_s, 0.13
a:, g001acn1_013_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 2.9, 0.2, 1.4, 1.4, one_s, 0.49
a:, g001acn1_015_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 14.3, 0.6, 6.0, 7.6, one_s, 0.11
a:, g001acn1_015_AAJ.par, Middle_word, VVINF, no_pause, p_stress, 0, 14.3, 0.4, 6.0, 7.6, w_initial, 0.14
a:, g001acn1_015_AAJ.par, Middle_word, NN, no_pause, none, 0, 14.3, 1.0, 6.0, 7.6, w_final, 0.09
a:, g001acn1_015_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 14.3, 0.9, 6.0, 7.6, one_s, 0.1
a:, g001acn1_015_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 14.3, 1.1, 6.0, 7.6, one_s, 0.07
a:, g001acn1_017_AAJ.par, Start_word, NN, no_pause, none, 0, 14.4, 0.8, 6.4, 6.8, w_initial, 0.11
a:, g001acn1_017_AAJ.par, Middle_word, ADV, no_pause, none, 0, 14.4, 1.1, 6.4, 6.8, w_initial, 0.17
a:, g001acn1_017_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 14.4, 1.5, 6.4, 6.8, one_s, 0.04
a:, g001acn1_017_AAJ.par, End_word, VVINF, no_pause, p_stress, 0, 14.4, 0.9, 6.4, 6.8, w_initial, 0.04
a:, g001acn1_019_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 15.3, 0.9, 6.6, 8.2, one_s, 0.11
a:, g001acn1_019_AAJ.par, Middle_word, VAFIN, no_pause, p_stress, 0, 15.3, 2.0, 6.6, 8.2, w_initial, 0.05
a:, g001acn1_019_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.3, 1.5, 6.6, 8.2, w_initial, 0.08
a:, g001acn1_019_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 15.3, 0.6, 6.6, 8.2, one_s, 0.13
a:, g001acn1_019_AAJ.par, Middle_word, VVINF, no_pause, s_stress, 0, 15.3, 1.1, 6.6, 8.2, w_initial, 0.07
a:, g001acn1_019_AAJ.par, Middle_word, NN, no_pause, s_stress, 0, 15.3, 0.9, 6.6, 8.2, w_initial, 0.1
a:, g001acn1_019_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.3, 1.8, 6.6, 8.2, one_s, 0.05
a:, g001acn1_022_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 15.6, 0.5, 6.0, 6.9, one_s, 0.17
a:, g001acn1_022_AAJ.par, Middle_word, VAFIN, no_pause, p_stress, 0, 15.6, 0.6, 6.0, 6.9, w_initial, 0.11
a:, g001acn1_022_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.6, 0.7, 6.0, 6.9, one_s, 0.11
a:, g001acn1_024_AAJ.par, Start_word, VVFIN, no_pause, p_stress, 0, 14.6, 1.3, 6.8, 8.9, w_initial, 0.06
a:, g001acn1_024_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 14.6, 1.7, 6.8, 8.9, one_s, 0.04
a:, g001acn1_029_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 12.5, 1.1, 5.1, 7.4, one_s, 0.09
a:, g001acn1_029_AAJ.par, End_word, APPR, no_pause, p_stress, 0, 12.5, 0.7, 5.1, 7.4, one_s, 0.13
a:, g001acn1_031_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 5.3, 0.4, 2.6, 2.6, one_s, 0.28
a:, g001acn1_035_AAJ.par, Middle_word, ADJD, no_pause, none, 0, 18.5, 0.8, 7.3, 9.8, w_initial, 0.08
a:, g001acn1_035_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 18.5, 0.8, 7.3, 9.8, w_initial, 0.11
a:, g001acn1_038_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 15.1, 0.8, 6.1, 7.6, w_initial, 0.1
a:, g001acn1_038_AAJ.par, Middle_word, PTKVZ, no_pause, p_stress, 0, 15.1, 1.1, 6.1, 7.6, one_s, 0.09
a:, g001acn1_040_AAJ.par, Start_word, ADJD, no_pause, p_stress, 0, 20.5, 1.0, 9.1, 9.1, w_final, 0.12
a:, g001acn1_042_AAJ.par, Start_word, VVFIN, no_pause, p_stress, 0, 17.9, 0.8, 7.5, 9.3, w_initial, 0.06
a:, g001acn1_044_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 14.4, 0.9, 5.0, 5.5, one_s, 0.11
a:, g001acn1_048_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 6.3, 0.4, 3.1, 3.1, one_s, 0.22
a:, g001acn1_050_AAJ.par, End_word, NN, no_pause, p_stress, 0, 20.9, 1.4, 8.1, 10.6, w_middle, 0.08
a:, g001acn1_052_AAJ.par, End_word, ITJ, no_pause, p_stress, 0, 4.7, 0.3, 2.4, 3.2, one_s, 0.22
a:, g001acn1_054_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 17.5, 0.7, 8.2, 9.6, one_s, 0.1
a:, g001acn1_054_AAJ.par, Middle_word, NN, no_pause, s_stress, 0, 17.5, 1.1, 8.2, 9.6, w_final, 0.08
a:, g001acn1_054_AAJ.par, End_word, ADV, no_pause, p_stress, 0, 17.5, 1.2, 8.2, 9.6, one_s, 0.05
a:, g001acn1_059_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 10.6, 1.2, 5.1, 6.7, one_s, 0.04
a:, g001acn1_059_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 10.6, 1.1, 5.1, 6.7, w_middle, 0.08
a:, g001acn1_059_AAJ.par, Middle_word, NN, no_pause, s_stress, 0, 10.6, 1.1, 5.1, 6.7, w_middle, 0.15
a:, g001acn1_061_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 15.9, 0.5, 7.1, 9.2, one_s, 0.18
a:, g001acn1_061_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.9, 0.9, 7.1, 9.2, one_s, 0.07
a:, g001acn1_061_AAJ.par, End_word, PAV, no_pause, p_stress, 0, 15.9, 0.7, 7.1, 9.2, w_initial, 0.11
a:, g001acn1_065_AAJ.par, Middle_word, ADJD, no_pause, none, 0, 19.8, 1.7, 7.8, 11.4, w_initial, 0.07
a:, g001acn1_065_AAJ.par, Middle_word, VAINF, no_pause, p_stress, 0, 19.8, 0.8, 7.8, 11.4, w_initial, 0.09
a:, g001acn1_065_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 19.8, 0.8, 7.8, 11.4, w_initial, 0.15
a:, g001acn1_067_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 18.0, 0.9, 7.1, 8.9, one_s, 0.11
a:, g001acn1_067_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 18.0, 0.8, 7.1, 8.9, w_initial, 0.2 
a:, g001acn1_067_AAJ.par, Middle_word, ADJD, no_pause, p_stress, 0, 18.0, 1.1, 7.1, 8.9, w_initial, 0.05
a:, g001acn1_067_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 18.0, 1.1, 7.1, 8.9, one_s, 0.05
a:, g001acn1_067_AAJ.par, Middle_word, VAFIN, no_pause, p_stress, 0, 18.0, 1.1, 7.1, 8.9, w_initial, 0.05
a:, g001acn1_067_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 18.0, 1.0, 7.1, 8.9, w_initial, 0.08
a:, g001acn1_067_AAJ.par, Middle_word, NN, no_pause, none, 0, 18.0, 1.0, 7.1, 8.9, w_initial, 0.11
a:, g001acn1_067_AAJ.par, Middle_word, NN, no_pause, p_stress, 0, 18.0, 1.1, 7.1, 8.9, w_initial, 0.08
a:, g001acn1_067_AAJ.par, Middle_word, NN, no_pause, none, 0, 18.0, 1.1, 7.1, 8.9, w_initial, 0.11
a:, g001acn1_071_AAJ.par, Middle_word, ITJ, no_pause, p_stress, 0, 15.6, 1.0, 6.7, 8.3, one_s, 0.09
a:, g001acn1_071_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.6, 0.8, 6.7, 8.3, one_s, 0.14
a:, g001acn1_074_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 5.0, 0.4, 2.5, 2.5, one_s, 0.29
a:, g001acn1_076_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.5, 1.6, 6.3, 8.2, one_s, 0.05
a:, g001acn1_076_AAJ.par, Middle_word, VVPP, no_pause, p_stress, 0, 15.5, 1.4, 6.3, 8.2, w_final, 0.07
a:, g001acn1_076_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.5, 1.6, 6.3, 8.2, one_s, 0.05
a:, g001acn1_076_AAJ.par, Middle_word, ADV, no_pause, p_stress, 0, 15.5, 1.6, 6.3, 8.2, one_s, 0.05
a:, g001acn1_076_AAJ.par, Middle_word, APPR, no_pause, p_stress, 0, 15.5, 1.1, 6.3, 8.2, one_s, 0.06
a:, g001acn1_078_AAJ.par, End_word, ADJD, no_pause, p_stress, 0, 16.1, 0.7, 5.9, 7.6, w_final, 0.15
a:, g001acn1_080_AAJ.par, Start_word, ITJ, near_pause, p_stress, 0, 8.7, 1.2, 2.9, 2.4, one_s, 0.06
a:, g001acn1_084_AAJ.par, Middle_word, VVFIN, no_pause, p_stress, 0, 17.5, 1.2, 7.1, 7.4, w_initial, 0.04
a:, g001acn2_003_AAK.par, Start_word, PTKANT, near_pause, p_stress, 0, 11.8, 0.9, 5.4, 6.0, one_s, 0.08
a:, g001acn2_003_AAK.par, Middle_word, ITJ, no_pause, p_stress, 0, 11.8, 0.7, 5.4, 6.0, one_s, 0.16
a:, g001acn2_003_AAK.par, Middle_word, NN, no_pause, p_stress, 0, 11.8, 0.9, 5.4, 6.0, w_initial, 0.13
a:, g001acn2_003_AAK.par, End_word, VVPP, no_pause, p_stress, 0, 11.8, 1.1, 5.4, 6.0, w_final, 0.09
a:, g001acn2_003_AAK.par, End_word, ITJ, no_pause, p_stress, 0, 11.8, 0.5, 5.4, 6.0, one_s, 0.17
a:, g001acn2_007_AAK.par, Start_word, ADV, no_pause, p_stress, 0, 14.0, 0.8, 5.6, 6.8, one_s, 0.12
a:, g001acn2_007_AAK.par, Middle_word, VAFIN, no_pause, p_stress, 0, 14.0, 1.1, 5.6, 6.8, w_initial, 0.08
a:, g001acn2_007_AAK.par, Middle_word, ADV, no_pause, p_stress, 0, 14.0, 1.6, 5.6, 6.8, one_s, 0.06
a:, g001acn2_007_AAK.par, Middle_word, ADV, no_pause, p_stress, 0, 14.0, 1.4, 5.6, 6.8, one_s, 0.04
a:, g001acn2_007_AAK.par, Middle_word, NN, no_pause, none, 0, 14.0, 1.3, 5.6, 6.8, w_final, 0.06
a:, g001acn2_007_AAK.par, Middle_word, NN, no_pause, none, 0, 14.0, 1.0, 5.6, 6.8, w_initial, 0.07
a:, g001acn2_007_AAK.par, Middle_word, NN, no_pause, none, 0, 14.0, 1.0, 5.6, 6.8, w_initial, 0.09
a:, g001acn2_009_AAK.par, Start_word, NN, near_pause, none, 0, 14.7, 1.0, 6.1, 6.8, w_initial, 0.06
a:, g001acn2_009_AAK.par, Middle_word, ADV, no_pause, p_stress, 0, 14.7, 0.5, 6.1, 6.8, one_s, 0.17
a:, g001acn2_009_AAK.par, Middle_word, ADV, no_pause, p_stress, 0, 14.7, 0.9, 6.1, 6.8, one_s, 0.1
a:, g001acn2_009_AAK.par, Middle_word, NN, no_pause, none, 0, 14.7, 0.6, 6.1, 6.8, w_final, 0.21
a:, g001acn2_009_AAK.par, Middle_word, NN, no_pause, none, 0, 14.7, 0.7, 6.1, 6.8, w_middle, 0.1
a:, g001acn2_016_AAK.par, Start_word, ITJ, near_pause, p_stress, 0, 11.4, 2.0, 5.7, 7.1, one_s, 0.04
a:, g001acn2_018_AAK.par, Start_word, VAFIN, no_pause, p_stress, 0, 12.2, 1.2, 5.5, 5.9, w_initial, 0.05
a:, g001acn2_018_AAK.par, End_word, ADV, no_pause, p_stress, 0, 12.2, 0.6, 5.5, 5.9, one_s, 0.19
a:, g001acn2_020_AAK.par, Start_word, ITJ, near_pause, p_stress, 0, 6.7, 0.5, 3.3, 3.3, one_s, 0.12
a:, g001acn2_021_AAK.par, Middle_word, ADV, no_pause, none, 0, 13.7, 1.0, 5.3, 7.9, w_final, 0.08
a:, g001acn2_021_AAK.par, Middle_word, ADV, no_pause, p_stress, 0, 13.7, 0.8, 5.3, 7.9, one_s, 0.13
a:, g001acn2_023_AAK.par, Middle_word, VAFIN, no_pause, p_stress, 0, 14.9, 1.1, 5.2, 6.0, w_initial, 0.05
