% ARFF file for Verbmobil
% Phoneme: oeO
%
@relation oeO

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { 9, O }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { ORD, zwoelft, koe, VAPP, Abendoeffnung, VMFIN, Oktobe, NN, zwoelf, KOUS, gebongt, wol, VVIZU, ADJD, prof, VMINF, Don, VVPP, APPR, CARD, Georgen, PIAT, ob, Abom, no, vo, VVINF, Georg, APPRART, PTKVZ, ITJ, Woch, VVFIN, koenn, Donner, FM, kost, FW, j, moch, Sol, hoff, dorten, PPER, to, KON, Doppel, VAFIN, wollt, NE, PAV, loer, ADJA, Lasterloechli, koennt, Maimoch, SPELL, ADV }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
9, g001acn1_008_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 10.6, 0.5, 4.3, 5.4, one_s, 0.04
9, g001acn1_015_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.3, 0.6, 6.0, 7.6, w_initial, 0.06
9, g001acn1_017_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.4, 0.8, 6.4, 6.8, w_initial, 0.07
9, g001acn2_055_AAK.par, End_word, VMFIN, no_pause, p_stress, 0, 16.0, 1.1, 6.2, 7.9, w_initial, 0.07
9, g001acn2_057_AAK.par, Start_word, VMFIN, no_pause, p_stress, 0, 11.6, 1.0, 4.7, 6.9, w_initial, 0.05
9, g002acn1_031_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.4, 1.0, 5.9, 7.9, w_initial, 0.06
9, g002acn1_039_AAJ.par, Start_word, VMFIN, no_pause, p_stress, 0, 11.0, 0.8, 4.1, 5.9, w_initial, 0.06
9, g002acn1_055_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.4, 0.8, 5.9, 7.7, w_initial, 0.06
9, g002acn1_077_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.7, 1.3, 6.2, 8.9, w_initial, 0.04
9, g002acn1_085_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.4, 1.1, 5.2, 6.1, w_initial, 0.03
9, g002acn1_088_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 16.0, 1.2, 7.4, 9.0, w_initial, 0.03
9, g002acn2_011_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.3, 0.7, 5.5, 6.8, w_initial, 0.09
9, g002acn2_029_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 0.9, 5.0, 6.2, w_initial, 0.07
9, g002acn2_047_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.0, 0.7, 6.5, 8.2, w_initial, 0.08
9, g002acn2_062_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.2, 1.0, 6.5, 6.5, w_initial, 0.09
9, g003acn1_028_AAJ.par, End_word, VMFIN, no_pause, p_stress, 0, 14.9, 1.1, 6.3, 7.6, w_initial, 0.08
9, g003acn1_037_AAJ.par, Middle_word, CARD, no_pause, p_stress, 0, 13.9, 0.7, 5.3, 6.8, one_s, 0.05
9, g003acn1_041_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.3, 1.5, 4.6, 6.2, w_initial, 0.03
9, g003acn1_046_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.3, 0.5, 5.0, 6.4, w_initial, 0.08
9, g003acn1_059_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 9.5, 0.6, 3.9, 5.2, w_initial, 0.07
9, g003acn1_069_AAJ.par, Start_word, VMFIN, no_pause, p_stress, 0, 12.9, 1.4, 4.5, 4.9, w_initial, 0.04
9, g003acn1_075_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.0, 0.9, 6.2, 8.7, w_initial, 0.04
9, g003acn1_075_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.0, 1.1, 6.2, 8.7, w_initial, 0.06
9, g003acn1_079_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.5, 1.2, 6.4, 7.9, w_initial, 0.05
9, g003acn1_088_AAJ.par, Middle_word, VMFIN, no_pause, p_stress, 0, 16.4, 1.3, 7.3, 9.2, w_initial, 0.03
9, g003acn2_015_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.5, 1.0, 5.0, 6.1, w_initial, 0.09
9, g003acn2_024_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.0, 0.6, 5.2, 6.1, w_initial, 0.08
9, g003acn2_049_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.5, 1.2, 5.6, 8.9, one_s, 0.06
9, g003acn2_064_AAK.par, End_word, ADJD, no_pause, p_stress, 0, 13.0, 1.4, 5.6, 7.4, w_middle, 0.11
9, g003acn2_067_AAK.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.1, 1.3, 5.7, 7.3, w_initial, 0.09
9, g003acn2_072_AAK.par, Middle_word, VVPP, no_pause, p_stress, 0, 14.2, 1.3, 6.4, 7.4, w_middle, 0.06
9, g003acn2_081_AAK.par, Start_word, VMFIN, no_pause, p_stress, 0, 15.8, 1.1, 6.5, 8.5, w_initial, 0.07
9, g009acn1_002_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.3, 0.9, 4.9, 7.0, w_initial, 0.1
9, g009acn1_011_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.9, 0.4, 4.8, 6.0, w_initial, 0.1
9, g009acn1_018_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.0, 0.7, 5.1, 7.0, w_initial, 0.07
9, g009acn1_018_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.0, 0.9, 5.1, 7.0, w_initial, 0.07
9, g009acn1_020_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.4, 1.1, 5.1, 6.3, w_initial, 0.05
9, g009acn1_022_ABA.par, Start_word, VMFIN, no_pause, p_stress, 0, 14.3, 1.1, 5.6, 6.3, w_initial, 0.04
9, g009acn1_030_ABA.par, Middle_word, ADV, no_pause, none, 0, 15.2, 0.6, 5.8, 7.3, one_s, 0.07
9, g009acn1_030_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.2, 1.2, 5.8, 7.3, w_initial, 0.04
9, g009acn2_012_ABD.par, Start_word, VMFIN, no_pause, p_stress, 0, 15.3, 1.0, 6.2, 8.4, w_initial, 0.04
9, g009acn2_036_ABD.par, Start_word, VMFIN, no_pause, p_stress, 0, 14.1, 0.9, 5.8, 7.3, w_initial, 0.07
9, g009acn2_036_ABD.par, Middle_word, ADJD, no_pause, p_stress, 0, 14.1, 0.8, 5.8, 7.3, w_middle, 0.05
9, g009acn2_041_ABD.par, Middle_word, ADJD, no_pause, p_stress, 0, 15.9, 1.1, 7.1, 9.2, w_middle, 0.07
9, g010acn1_013_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.5, 0.8, 5.3, 7.3, w_initial, 0.06
9, g010acn1_015_ABA.par, Start_word, VMFIN, no_pause, p_stress, 0, 13.3, 0.7, 5.5, 7.7, w_initial, 0.08
9, g010acn1_019_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.1, 0.8, 5.2, 7.6, w_initial, 0.05
9, g010acn1_024_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.6, 1.0, 6.4, 9.4, w_initial, 0.06
9, g010acn1_028_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.8, 0.7, 5.2, 7.1, w_initial, 0.06
9, g010acn2_000_ABD.par, Middle_word, VMINF, no_pause, p_stress, 0, 15.9, 0.6, 6.1, 8.2, w_initial, 0.08
9, g010acn2_040_ABD.par, Middle_word, VVFIN, no_pause, p_stress, 0, 13.7, 1.0, 6.5, 8.6, w_initial, 0.06
9, g011acn1_002_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.7, 0.7, 4.9, 6.6, w_initial, 0.1
9, g011acn1_007_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.7, 1.0, 4.9, 7.9, w_initial, 0.07
9, g011acn1_013_ABA.par, Middle_word, VMINF, no_pause, p_stress, 0, 11.2, 0.8, 4.5, 6.1, w_initial, 0.09
9, g011acn1_016_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.7, 1.0, 5.2, 7.2, w_initial, 0.05
9, g011acn1_016_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.7, 0.6, 5.2, 7.2, w_initial, 0.08
9, g011acn1_018_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.9, 0.8, 4.9, 6.9, w_initial, 0.05
9, g011acn1_024_ABA.par, Start_word, VMFIN, no_pause, p_stress, 0, 15.6, 0.5, 5.7, 8.1, w_initial, 0.09
9, g011acn1_032_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.1, 0.8, 5.4, 7.7, w_initial, 0.06
9, g011acn2_004_ABD.par, Middle_word, VMFIN, no_pause, p_stress, 0, 16.1, 1.1, 6.8, 8.2, w_initial, 0.04
9, g011acn2_006_ABD.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 1.0, 4.9, 6.9, w_initial, 0.06
9, g011acn2_010_ABD.par, Start_word, VMFIN, no_pause, p_stress, 0, 17.2, 0.9, 7.2, 8.7, w_initial, 0.07
9, g011acn2_023_ABD.par, Start_word, VMFIN, no_pause, p_stress, 0, 13.3, 0.8, 5.3, 6.5, w_initial, 0.04
9, g011acn2_025_ABD.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.2, 1.7, 6.3, 7.0, w_initial, 0.03
9, g011acn2_033_ABD.par, Middle_word, VMINF, no_pause, p_stress, 0, 15.2, 0.9, 5.6, 7.6, w_initial, 0.06
9, g012acn1_003_ABA.par, Middle_word, ORD, no_pause, p_stress, 0, 13.6, 0.8, 5.4, 6.9, w_initial, 0.06
9, g012acn1_011_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.6, 0.8, 5.9, 7.7, w_initial, 0.08
9, g012acn1_013_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 0.8, 4.3, 5.7, w_initial, 0.09
9, g012acn1_013_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 0.7, 4.3, 5.7, w_initial, 0.05
9, g012acn1_015_ABA.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.1, 0.8, 5.4, 6.9, w_initial, 0.05
9, g012acn2_004_ABD.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.6, 1.0, 4.6, 6.0, w_initial, 0.04
9, g012acn2_010_ABD.par, Middle_word, loer, no_pause, none, 0, 12.4, 0.7, 4.9, 6.6, one_s, 0.03
9, g012acn2_010_ABD.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.4, 0.6, 4.9, 6.6, w_initial, 0.04
9, g012acn2_014_ABD.par, Middle_word, VVPP, no_pause, p_stress, 0, 14.4, 1.3, 6.4, 7.4, w_middle, 0.03
9, g013acn1_002_ABE.par, Start_word, VMFIN, no_pause, p_stress, 0, 12.5, 0.8, 5.0, 6.0, w_initial, 0.08
9, g013acn1_026_ABE.par, Middle_word, ADJA, no_pause, p_stress, 0, 14.3, 1.5, 5.9, 7.4, w_initial, 0.03
9, g013acn1_041_ABE.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.3, 0.4, 5.1, 7.0, w_initial, 0.08
9, g013acn2_013_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.4, 0.8, 4.7, 6.5, w_initial, 0.05
9, g013acn2_025_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.6, 1.6, 5.3, 7.8, one_s, 0.03
9, g013acn2_025_ABO.par, End_word, VVINF, no_pause, p_stress, 0, 13.6, 0.9, 5.3, 7.8, w_initial, 0.07
9, g013acn2_029_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.8, 1.1, 5.5, 6.7, w_initial, 0.07
9, g013acn2_044_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.0, 0.9, 6.2, 7.4, w_initial, 0.03
9, g014acn1_013_ABE.par, Middle_word, NN, no_pause, s_stress, 0, 12.2, 1.0, 4.9, 6.0, w_middle, 0.04
9, g014acn1_015_ABE.par, End_word, NN, no_pause, p_stress, 0, 11.5, 0.7, 5.5, 7.5, w_initial, 0.04
9, g014acn1_017_ABE.par, Middle_word, NN, no_pause, p_stress, 0, 15.5, 0.8, 6.4, 8.7, w_initial, 0.04
9, g014acn2_002_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.1, 0.7, 5.0, 6.4, w_initial, 0.06
9, g014acn2_010_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 9.4, 0.8, 4.0, 5.3, w_initial, 0.04
9, g014acn2_010_ABO.par, Middle_word, VMINF, no_pause, p_stress, 0, 9.4, 0.8, 4.0, 5.3, w_initial, 0.05
9, g014acn2_010_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 9.4, 1.1, 4.0, 5.3, w_initial, 0.09
9, g014acn2_014_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.2, 0.9, 5.1, 6.3, w_initial, 0.05
9, g014acn2_033_ABO.par, Start_word, VMFIN, no_pause, p_stress, 0, 11.5, 0.6, 5.6, 7.5, w_initial, 0.05
9, g014acn2_033_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.5, 0.6, 5.6, 7.5, w_initial, 0.04
9, g016acn2_013_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.7, 0.7, 4.8, 6.0, w_initial, 0.05
9, g016acn2_013_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.7, 1.0, 4.8, 6.0, w_initial, 0.05
9, g016acn2_023_ABO.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.7, 0.8, 6.3, 8.3, one_s, 0.04
9, g017acn1_009_ABV.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 0.7, 4.4, 5.9, w_initial, 0.09
9, g017acn1_013_ABV.par, Middle_word, VMINF, no_pause, p_stress, 0, 16.9, 0.5, 6.0, 7.9, w_initial, 0.09
9, g017acn1_021_ABV.par, Middle_word, VMFIN, no_pause, p_stress, 0, 15.1, 1.2, 5.9, 7.3, w_initial, 0.06
9, g017acn2_002_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.0, 0.4, 4.9, 6.1, w_initial, 0.09
9, g017acn2_010_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.5, 0.9, 5.3, 7.2, w_initial, 0.07
9, g017acn2_018_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.8, 0.7, 5.1, 6.4, w_initial, 0.08
9, g017acn2_020_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.8, 0.9, 5.9, 7.1, w_initial, 0.07
9, g017acn2_020_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.8, 0.9, 5.9, 7.1, w_initial, 0.04
9, g017acn2_022_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.2, 1.1, 5.3, 6.7, w_initial, 0.08
9, g018acn1_004_ABV.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.7, 1.3, 6.0, 7.2, w_initial, 0.06
9, g018acn1_008_ABV.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.2, 1.3, 5.1, 6.8, w_initial, 0.07
9, g018acn1_032_ABV.par, Middle_word, VMFIN, no_pause, p_stress, 0, 17.2, 1.4, 6.5, 9.1, w_initial, 0.04
9, g018acn2_001_ACY.par, Middle_word, ORD, no_pause, p_stress, 0, 11.3, 0.4, 4.1, 5.2, w_initial, 0.18
9, g018acn2_005_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.4, 1.1, 5.2, 6.5, one_s, 0.06
9, g018acn2_009_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 12.1, 0.8, 5.1, 7.0, w_initial, 0.06
9, g018acn2_017_ACY.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.3, 0.7, 5.8, 7.3, w_initial, 0.11
9, g024acn1_003_AER.par, Middle_word, VMFIN, no_pause, p_stress, 0, 11.5, 0.7, 5.1, 5.8, w_initial, 0.07
