% ARFF file for Verbmobil
% Phoneme: short_e
%
@relation short_e

% List of attributes:
%
% Duration is expressed in seconds
@attribute phoneme { e }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { we, renov, The, ze, ADV, de, Reserv, Te, De, Sekre, TRUNC, Theater-schauen, VVPP, NE, VVFIN, KON, Ze, Re, ve, ADJD, me, eventu, dreize, VAFIN, ev, erle, re, PPER, VVINF, chines, NN, ORD, relaviel, ADJA, nichtraucher-speziellem }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute syl_position { one_s, w_initial, w_middle, w_final }
@attribute duration numeric

@data
%
e, g001acn1_071_AAJ.par, Middle_word, NN, no_pause, none, 0, 15.6, 1.3, 6.7, 8.3, w_initial, 0.05
e, g001acn2_047_AAK.par, End_word, NN, no_pause, none, 0, 17.8, 1.4, 8.1, 9.3, w_initial, 0.04
e, g001acn2_053_AAK.par, Middle_word, NN, no_pause, none, 0, 12.4, 0.9, 5.2, 7.2, w_initial, 0.06
e, g002acn1_050_AAJ.par, Start_word, VAFIN, no_pause, none, 0, 13.3, 0.5, 6.2, 7.6, one_s, 0.04
e, g002acn1_050_AAJ.par, Middle_word, VVINF, no_pause, none, 0, 13.3, 1.2, 6.2, 7.6, w_initial, 0.04
e, g002acn2_047_AAK.par, Middle_word, NN, no_pause, none, 0, 15.0, 1.4, 6.5, 8.2, w_initial, 0.04
e, g003acn1_025_AAJ.par, Middle_word, ADJD, no_pause, none, 0, 15.2, 1.0, 7.2, 8.5, w_middle, 0.04
e, g003acn1_088_AAJ.par, Middle_word, NN, no_pause, none, 0, 16.4, 1.6, 7.3, 9.2, w_initial, 0.04
e, g003acn2_052_AAK.par, Middle_word, NE, no_pause, none, 0, 11.8, 1.0, 5.0, 6.0, w_middle, 0.04
e, g003acn2_056_AAK.par, Middle_word, NE, no_pause, none, 0, 13.8, 1.2, 5.4, 7.0, w_middle, 0.04
e, g003acn2_061_AAK.par, End_word, NN, no_pause, none, 0, 14.6, 1.1, 6.1, 7.5, w_initial, 0.06
e, g003acn2_061_AAK.par, End_word, NN, no_pause, none, 0, 14.6, 1.1, 6.1, 7.5, w_initial, 0.04
