% ARFF file for Verbmobil
% Phoneme: vowels_no_schwa
%
@relation vowels_no_schwa

% List of attributes:
%
% Duration is expressed in milliseconds
@attribute phoneme { a, a~, e, E, I, i, O, o, U, u, Y, y, 9, 2, a:, a~:, e:, E:, i:, o:, u:, y:, 2:, OY, aU, aI,  }
@attribute filename string
@attribute speech_position { Start_word, Middle_word, End_word }
@attribute word { CARD, gib, to, PTKANT, he, TRUNC, ART, PRF, f, APPO, <aeh>, de, fuen, Mittw, PPER, Ma, g, VVIZU, Bla-Damm, Rueckscha, VVINF, PIDAT, VVIMP, Prinzen, mo, <aehm>, al, Unterkunfts, VAFIN, t, ADV, PAV, Anfa, Flu, PRELS, ze, PWAT, KON, PTKVZ, KOKOM, PTKA, ADJA, SPELL, Marriott-Ho, tschamtatam, au, ueber, Wieder, PIAT, Fro, so, Au, m, PWAV, ORD, no, VAINF, bescha, gla, FW, VAPP, VMINF, ADJD, k, Flieg, PTKZU, PDS, Mont, PPOSAT, ITJ, NN, VMFIN, h, wa, VVPP, v, VVFIN, dorten, Flugzeig, NE, KOUI, schlech, PIS, F, Zu, Rueckf, KOUS, PWS, PTKNEG, APPRART, APPR, PDAT,  }
@attribute pause { near_pause, no_pause }
@attribute stress { none, p_stress, s_stress }
@attribute overlapping { 1, 0 }
@attribute speech_rate_pho numeric
@attribute local_speech_rate numeric
@attribute speech_rate_msyl numeric
@attribute speech_rate_ksyl numeric
@attribute duration numeric

@data
%
a, g016acn1_002_ABE.par, Middle_word, NE, no_pause, none, 0, 10.7, 1.0, 4.4, 5.7, 79.94
a, g016acn1_002_ABE.par, Middle_word, VVINF, no_pause, p_stress, 0, 10.7, 0.4, 4.4, 5.7, 79.94
a, g016acn1_002_ABE.par, Middle_word, ADJA, no_pause, p_stress, 0, 10.7, 0.9, 4.4, 5.7, 29.94
a, g016acn1_002_ABE.par, Middle_word, NN, no_pause, none, 0, 10.7, 1.2, 4.4, 5.7, 69.94
a, g016acn1_006_ABE.par, Middle_word, PDS, no_pause, none, 0, 13.5, 0.8, 5.2, 6.7, 59.94
a, g016acn1_006_ABE.par, Middle_word, ORD, no_pause, s_stress, 0, 13.5, 1.0, 5.2, 6.7, 49.94
a, g016acn1_006_ABE.par, End_word, ORD, no_pause, s_stress, 0, 13.5, 0.6, 5.2, 6.7, 89.94
a, g016acn1_008_ABE.par, Middle_word, ADJA, no_pause, p_stress, 0, 16.0, 1.0, 6.3, 7.7, 29.94
a, g016acn1_010_ABE.par, Middle_word, NE, no_pause, none, 0, 9.9, 0.6, 4.1, 4.9, 69.94
a, g016acn1_014_ABE.par, Start_word, ITJ, near_pause, p_stress, 0, 10.0, 1.0, 5.0, 5.0, 29.94
a, g016acn1_016_ABE.par, Start_word, ITJ, near_pause, p_stress, 0, 15.0, 0.7, 5.2, 7.2, 59.94
a, g016acn1_016_ABE.par, Middle_word, APPRART, no_pause, p_stress, 0, 15.0, 1.0, 5.2, 7.2, 99.94
a, g016acn1_016_ABE.par, Middle_word, NE, no_pause, s_stress, 0, 15.0, 1.2, 5.2, 7.2, 69.94
a, g016acn1_016_ABE.par, Middle_word, NE, no_pause, none, 0, 15.0, 1.2, 5.2, 7.2, 39.94
a, g016acn1_016_ABE.par, Middle_word, PDS, no_pause, none, 0, 15.0, 1.1, 5.2, 7.2, 49.94
a, g016acn1_016_ABE.par, Middle_word, ADJA, no_pause, p_stress, 0, 15.0, 1.0, 5.2, 7.2, 39.94
a, g016acn1_016_ABE.par, Middle_word, VVFIN, no_pause, none, 0, 15.0, 1.3, 5.2, 7.2, 39.94
a, g016acn1_016_ABE.par, Middle_word, ADJD, no_pause, p_stress, 0, 15.0, 0.8, 5.2, 7.2, 29.94
a, g016acn1_016_ABE.par, Middle_word, ITJ, no_pause, p_stress, 0, 15.0, 1.6, 5.2, 7.2, 29.94
a, g016acn1_016_ABE.par, Middle_word, KOUS, no_pause, p_stress, 0, 15.0, 0.9, 5.2, 7.2, 59.94
a, g016acn1_016_ABE.par, Middle_word, PDS, no_pause, none, 0, 15.0, 0.2, 5.2, 7.2, 49.94
a, g016acn1_018_ABE.par, Middle_word, ART, no_pause, none, 0, 12.3, 1.3, 4.9, 6.8, 59.94
a, g016acn1_018_ABE.par, End_word, ADV, no_pause, p_stress, 0, 12.3, 0.7, 4.9, 6.8, 29.94
a, g016acn1_022_ABE.par, Middle_word, VAFIN, no_pause, p_stress, 0, 14.3, 1.1, 5.6, 8.4, 79.94
a, g016acn1_022_ABE.par, Middle_word, NN, no_pause, p_stress, 0, 14.3, 1.1, 5.6, 8.4, 69.94
a, g016acn1_022_ABE.par, Middle_word, NN, no_pause, p_stress, 0, 14.3, 0.5, 5.6, 8.4, 109.94
a, g016acn1_022_ABE.par, Middle_word, ADV, no_pause, p_stress, 0, 14.3, 0.8, 5.6, 8.4, 189.94
a, g016acn1_022_ABE.par, Middle_word, VMFIN, no_pause, p_stress, 0, 14.3, 1.2, 5.6, 8.4, 59.94
a, g016acn1_022_ABE.par, Middle_word, VAFIN, no_pause, p_stress, 0, 14.3, 1.0, 5.6, 8.4, 89.94
a, g016acn1_022_ABE.par, Middle_word, PDS, no_pause, none, 0, 14.3, 1.3, 5.6, 8.4, 39.94
a, g016acn1_022_ABE.par, End_word, ADJD, no_pause, none, 0, 14.3, 0.5, 5.6, 8.4, 49.94
a, g016acn1_024_ABE.par, Middle_word, ADV, no_pause, p_stress, 0, 12.2, 0.5, 5.1, 6.7, 99.94
a, g016acn1_026_ABE.par, Start_word, ADV, near_pause, p_stress, 0, 13.3, 1.8, 6.1, 7.6, 29.94
a, g016acn1_026_ABE.par, Middle_word, ADV, no_pause, none, 0, 13.3, 1.7, 6.1, 7.6, 79.94
a, g016acn1_026_ABE.par, Middle_word, PRELS, no_pause, p_stress, 0, 13.3, 0.6, 6.1, 7.6, 109.94
a, g016acn1_026_ABE.par, Middle_word, PDS, no_pause, none, 0, 13.3, 1.5, 6.1, 7.6, 49.94
a, g016acn1_026_ABE.par, End_word, ADV, no_pause, p_stress, 0, 13.3, 0.8, 6.1, 7.6, 89.94
a, g016acn1_031_ABE.par, Middle_word, VVFIN, no_pause, s_stress, 0, 15.6, 0.7, 5.7, 8.2, 59.94
a, g016acn1_033_ABE.par, Middle_word, NN, no_pause, p_stress, 0, 15.6, 1.0, 7.3, 10.4, 39.94
a, g016acn1_037_ABE.par, Start_word, ADJD, near_pause, p_stress, 0, 13.0, 0.7, 4.8, 6.5, 39.94
a, g016acn1_037_ABE.par, Start_word, CARD, no_pause, p_stress, 0, 13.0, 0.6, 4.8, 6.5, 129.94
a, g016acn1_037_ABE.par, Middle_word, ADV, no_pause, p_stress, 0, 13.0, 0.4, 4.8, 6.5, 99.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, 0, 13.0, 1.4, 4.8, 6.5, 29.94
a, g016acn1_037_ABE.par, Middle_word, NE, no_pause, none, 0, 13.0, 0.7, 4.8, 6.5, 69.94
a, g016acn1_037_ABE.par, Middle_word, VMFIN, no_pause, p_stress, 0, 13.0, 1.0, 4.8, 6.5, 69.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, 0, 13.0, 0.9, 4.8, 6.5, 89.94
a, g016acn1_037_ABE.par, Middle_word, ADV, no_pause, p_stress, 0, 13.0, 0.5, 4.8, 6.5, 139.94
a, g016acn1_037_ABE.par, Middle_word, PIS, no_pause, p_stress, 0, 13.0, 1.0, 4.8, 6.5, 129.94
a, g016acn1_039_ABE.par, Start_word, PDS, no_pause, none, 0, 12.9, 1.1, 5.7, 6.5, 89.94
a, g016acn1_039_ABE.par, Middle_word, CARD, no_pause, s_stress, 0, 12.9, 1.1, 5.7, 6.5, 49.94
a, g016acn1_039_ABE.par, Middle_word, ADV, no_pause, p_stress, 0, 12.9, 1.1, 5.7, 6.5, 59.94
a, g016acn1_039_ABE.par, Middle_word, APPRART, no_pause, p_stress, 0, 12.9, 1.3, 5.7, 6.5, 49.94
a, g016acn1_041_ABE.par, Middle_word, ORD, no_pause, s_stress, 0, 16.6, 0.9, 5.9, 8.3, 39.94
